"Timestamp","1. Did you find the strategies and activities in this tutorial were useful for your project progress?","2. Did you find your tutorial instructor (Tim) improved your understanding of the course material?","3. Do you find your tutorial instructor (Tim) approachable?","4. Did you find the tutorial activities engaging? ","5. What's working in the tutorial? ","6. What could we improve in the tutorial?","7. How could we encourage greater participation in tutorials? ","8. Do you have any recommendations that could help your tutorial instructor improve (Tim) their instructional approach? ","9. Do you have any other comments for your tutorial instructor (Tim)? "
"2021/04/14 6:05:14 am GMT-7","Somewhat useful","Improved","Very approachable","Fairly engaging","Brief introduction of topics before breakout rooms","More in-depth information and resources","","","Thanks"
"2021/04/14 6:06:34 am GMT-7","Very Useful","Improved","Very approachable","Fairly engaging","I think tutorial is great for asking questions. ","I guess more feedback would be nice. ","","","Great job Tim. Keep up the good work "
"2021/04/14 6:13:12 am GMT-7","Somewhat useful","Improved","Very approachable","Not engaging","The time to work on your projects and meet with the team is super helpful. And the chance to ask TAs questions also helps.","Sometimes TAs recommend/tell us to assume things that the professor/client state is incorrect. Make sure there are less inconsistencies between what the TAs expects from us versus the actual graders.","","Sometimes your tone can come off as you think groups are willfully ignorant. However, we're just confused since the course doesn't really teach us much and we know absolutely nothing about consultancy.","You were very nice and supportive throughout the semester. Thank you for your hard work"
"2021/04/14 6:15:44 am GMT-7","Somewhat useful","Improved","Very approachable","Fairly engaging","feedback is thorough and helpful","going between groups one by one could be made a little more time efficient and evenly","","","thank you for a good semester"
"2021/04/14 6:16:41 am GMT-7","Somewhat useful","Improved","Very approachable","Very engaging","The meeting with other teams doing different projects to share our initial rough presentation was a good idea.","N/A","Making attendance worth marks","N/A","Overall a good TA"
"2021/04/14 6:16:50 am GMT-7","Somewhat useful","Greatly improved","Very approachable","Fairly engaging","The tutorials were good work periods ","Maybe have more interactions with other groups in the tutorial. Like doing a small presentation.","","","He was very approachable and helped a lot when we asked questions which helped us make a good project"
"2021/04/14 6:24:00 am GMT-7","Very Useful","Improved","Very approachable","Fairly engaging","I think the comfortable environment that was created by being so approachable and open to helping was a very effective! ","Some of the tutorial worksheets are easy to ignore because i am not too sure how well we understand the worksheets so maybe further explanation for these tasks would be helpful!","Maybe more polls would encourage participation (as it is easy for the students and also interactive) ","Tim is a great TA that is very patient with his students especially in online learning! One comment I might have is that Tim could maybe use more specific examples when he is teaching content, so that we have a better grasp of what we need to do.","I like the morning ice breaker activities you do! as its a fun way to get the class started especially at 9am!"
"2021/04/14 6:27:46 am GMT-7","Somewhat useful","Greatly improved","Very approachable","Fairly engaging","I like the concept of this tutorial where it's mostly working on projects with the group, centred around group activities that should be done in tutorial. It was extremely useful for a project based course and helped reduce stress levels. It was easier to learn the course concepts since we had a set time to work on the projects.","I felt like the tutorial activities were hit or miss. Some weeks the activities really guided the work we did and helped me to learn about the week's topic. But the activities like the team check in in week two didn't really help, that felt like it was to early to work through with the team.","I think you need to incentivize people turning their cameras on during large group activities to increase online tutorial participation. I think it's because we can sometimes feel like we're being watched with our webcams on so it's important to have people be comfortable to turn their cameras on and be engaged in the class.","I personally like Tim's instructional approach and felt it worked well with my learning style.","N/A"
"2021/04/14 6:32:39 am GMT-7","Somewhat useful","Greatly improved","Very approachable","Fairly engaging","Splitting up to work on the assignments while Tim circled through the rooms made sure that we had ample time to work on the assignments and did not feel like there was not enough help.","Nothing.","I think there would have been greater participation if the environment was not virtual. Lack of participation was largely due to people not feeling the need to participate in an online setting. Maybe partitioning part of the grade to participation might encourage more participation in the virtual setting.","No.","My group and I constantly felt that we could approach Tim with assistance ranging from actual report writing and presenting to understanding the nature of these types of projects in the industry. Tim's knowledge regarding the course content was expansive and his ability to relate with his students while explaining it was very refreshing to see. Tim did a great job this semester!"
"2021/04/14 1:24:15 pm GMT-7","Somewhat useful","Greatly improved","Very approachable","Very engaging","asking the status of how teams are doing at the beginning of the tutorial was very helpful","provide examples of assignments so that teams have a better understanding of expectations or what the final submission should look like","more circulation of the TA around tutorial groups","When a recurring question comes up, they could answer it at the very beginning of the tutorial or make some sort of announcement during the tutorial to inform everyone","N/A"
"2021/04/17 2:40:30 pm GMT-7","Somewhat useful","Greatly improved","Very approachable","Fairly engaging","It's nice that we had time to work on things independently and we had time to work on our own projects.","Put it later in the day (for attendance), some of the activities seemed like busy work. The overall scheduling of the tutorials was poor, it felt like the work that we had due was being introduced the week it was due; it would've been much easier if the lecture/course material was staggered from the tutorials by one week.","Put them later in the day, make them more useful overall (the TAs weren't very knowledgeable of the projects, it didn't make much of a difference if we went to tutorial or just worked on a group call without a TA).","No, overall he was a great TA.","Thank you for the amazing semester! Even though you weren't 100% knowledgable about the regulations, you gave us some amazing guidance for our sampling plan and the overall project."
